"ENTITY_CD","SCHOOL_NAME","NUM_PRINC","NUM_TEACH","NUM_COUNSELORS","NUM_SOCIAL"
"082001040004","SHERBURNE-EARLVILLE SENIOR HIGH SCHOOL",1,30,1,1
"090201040001","KEESVILLE PRIMARY SCHOOL",1,30,1,0
"090201040002","AUSABLE VALLEY HIGH SCHOOL",1,32,3,0
"090201040004","AUSABLE FORKS ELEMENTARY SCHOOL",1,20,1,0
"090201040005","AUSABLE VALLEY MIDDLE SCHOOL",1,21,1,0
"090301060001","BEEKMANTOWN ELEMENTARY SCHOOL",1,33,2,0
"090301060003","CUMBERLAND HEAD ELEMENTARY SCHOOL",1,35,1,0
"090301060005","BEEKMANTOWN MIDDLE SCHOOL",2,44,2,0
"090301060006","BEEKMANTOWN HIGH SCHOOL",1,55,3,0
"090501040002","NORTHEASTERN CLINTON SENIOR HIGH SCHOOL",1,41,1,0
"090501040003","ROUSES POINT ELEMENTARY SCHOOL",1,20,1,0
"090501040006","MOOERS ELEMENTARY SCHOOL",1,25,1,0
"090501040007","NORTHEASTERN CLINTON MIDDLE SCHOOL",1,33,2,0
"090601020001","CHAZY CENTRAL RURAL ELEMENTARY SCHOOL",1,22,0,0
"090601020002","CHAZY CENTRAL RURAL JUNIOR-SENIOR HIGH SCHOOL",1,23,1,0
"090901040001","NORTHERN ADIRONDACK ELEMENTARY SCHOOL",1,31,1,0
"090901040002","NORTHERN ADIRONDACK MIDDLE/HIGH SCHOOL",2,51,2,0
"091101060004","PERU ELEMENTARY SCHOOL",2,72,3,0
"091101060005","PERU JR/SR HIGH SCHOOL",2,97,7,0
"091200010001","BAILEY AVENUE SCHOOL",1,23,0,0
"091200010003","ARTHUR P MOMOT ELEMENTARY SCHOOL",1,35,1,0
"091200010004","OAK STREET SCHOOL",1,24,0,0
"091200010005","STAFFORD MIDDLE SCHOOL",1,52,3,0
"091200010006","PLATTSBURGH SENIOR HIGH SCHOOL",1,48,1,0
"091402060002","MORRISONVILLE ELEMENTARY SCHOOL",1,27,1,0
"091402060004","SARANAC ELEMENTARY SCHOOL",1,31,1,0
"091402060005","SARANAC HIGH SCHOOL",1,44,2,0
"091402060007","SARANAC MIDDLE SCHOOL",1,36,3,0
"100308020001","BERKSHIRE JUNIOR-SENIOR HIGH SCHOOL",1,10,1,1
