"","ENTITY_CD","NUM_TEACH","PER_TEACH_INEXP","NUM_PRINC","PER_PRINC_INEXP"
"816","142801060017",35,3,1,100
"817","142801060018",42,2,1,100
"818","150203040000",27,15,1,0
"819","150203040001",27,15,1,0
"820","150301040000",29,21,1,0
"821","150301040001",29,21,1,0
"822","150601040000",23,0,1,0
"823","150601040001",23,0,1,0
"824","150801040000",21,10,1,0
"825","150801040001",21,10,1,0
"826","150901040000",70,11,2,0
"827","150901040004",37,8,1,0
"828","150901040007",40,13,1,0
"829","151001040000",19,16,1,0
"830","151001040001",19,16,1,0
"831","151102040000",71,10,2,0
"832","151102040001",45,13,1,0
"833","151102040002",25,4,1,0
"834","151401040000",27,0,1,0
"835","151401040001",27,0,1,0
"836","151501060000",75,9,3,33
"837","151501060001",29,7,1,0
"838","151501060003",35,6,1,0
"839","151501060007",21,19,1,100
"840","151601040000",20,20,1,0
"841","151601040001",20,20,1,0
"842","151701040000",30,0,1,0
"843","151701040001",30,0,1,0
"844","160101060000",64,13,2,100
"845","160101060001",34,3,1,100
"846","160101060003",33,21,1,100
"847","160801040000",49,20,2,50
"848","160801040001",30,20,1,100
"849","160801040002",27,30,1,0
"850","161201040000",157,39,4,25
"851","161201040001",43,30,1,0
"852","161201040002",54,43,1,0
"853","161201040003",32,22,1,100
